~id,~label,~from,~to,~fromLabels,~toLabels,dist:int
"18644","route","145","216","airport","airport",1635
"18660","route","145","817","airport","airport",345
"18676","route","145","1207","airport","airport",2095
"18692","route","145","2035","airport","airport",295
"18708","route","146","50","airport","airport",2209
"18724","route","146","77","airport","airport",1812
"18740","route","146","115","airport","airport",1932
"18756","route","146","248","airport","airport",1797
"18772","route","146","473","airport","airport",1767
"18788","route","146","658","airport","airport",833
"18803","route","146","1229","airport","airport",1129
"18819","route","147","5","airport","airport",495
"18835","route","147","21","airport","airport",328
"18851","route","147","178","airport","airport",366
"18867","route","147","421","airport","airport",580
"18883","route","148","163","airport","airport",347
"18899","route","149","12","airport","airport",2446
"18915","route","149","35","airport","airport",2426
"18931","route","149","178","airport","airport",2275
"18947","route","149","384","airport","airport",626
"18963","route","149","893","airport","airport",489
"18979","route","150","23","airport","airport",1379
"18995","route","151","3","airport","airport",1193
"19011","route","151","244","airport","airport",390
"19027","route","152","41","airport","airport",244
"19043","route","154","52","airport","airport",2497
"19058","route","154","161","airport","airport",1347
"19074","route","154","353","airport","airport",466
"19090","route","154","1178","airport","airport",832
"19106","route","155","58","airport","airport",3357
"19122","route","155","693","airport","airport",690
"19138","route","157","156","airport","airport",207
"19154","route","158","992","airport","airport",1067
"19170","route","159","2374","airport","airport",108
"19186","route","160","122","airport","airport",3957
"19202","route","160","2909","airport","airport",387
"19218","route","161","18","airport","airport",5473
"19234","route","161","68","airport","airport",859
"19250","route","161","90","airport","airport",883
"19266","route","161","125","airport","airport",5215
"19282","route","161","167","airport","airport",1234
"19298","route","161","216","airport","airport",2081
"19313","route","161","312","airport","airport",6196
"19329","route","161","336","airport","airport",614
"19345","route","161","469","airport","airport",1251
"19361","route","161","548","airport","airport",3110
"19377","route","161","813","airport","airport",1314
"19393","route","161","850","airport","airport",3073
"19409","route","161","1196","airport","airport",715
"19425","route","161","1767","airport","airport",966
"19441","route","161","2154","airport","airport",747
"19457","route","161","2453","airport","airport",878
"19473","route","161","2738","airport","airport",1456
"19489","route","162","59","airport","airport",1627
"19505","route","162","215","airport","airport",790
"19521","route","162","1178","airport","airport",869
"19537","route","163","45","airport","airport",690
"19553","route","163","241","airport","airport",1838
"19568","route","163","1869","airport","airport",506
"19584","route","164","59","airport","airport",1414
"19600","route","164","101","airport","airport",3084
"19616","route","164","154","airport","airport",528
"19632","route","164","286","airport","airport",1241
"19648","route","164","523","airport","airport",1878
"19664","route","164","1194","airport","airport",757
"19680","route","165","64","airport","airport",2110
"19696","route","165","235","airport","airport",1170
"19712","route","165","879","airport","airport",1305
"19728","route","165","2832","airport","airport",238
"19744","route","166","225","airport","airport",2417
"19760","route","166","1875","airport","airport",408
"19776","route","167","75","airport","airport",477
"19792","route","167","110","airport","airport",1270
"19808","route","167","202","airport","airport",1365
"19823","route","167","287","airport","airport",494
"19839","route","167","484","airport","airport",2115
"19855","route","167","517","airport","airport",1474
"19871","route","167","1182","airport","airport",2012
"19887","route","168","68","airport","airport",498
"19903","route","168","111","airport","airport",380
"19919","route","168","228","airport","airport",1940
"19935","route","168","451","airport","airport",546
"19951","route","168","504","airport","airport",1228
"19967","route","168","790","airport","airport",430
