~id,~label,~from,~to,~fromLabels,~toLabels
"52894","contains","3637","11","continent","airport"
"52910","contains","3637","27","continent","airport"
"52926","contains","3637","43","continent","airport"
"52942","contains","3639","59","continent","airport"
"52958","contains","3635","75","continent","airport"
"52974","contains","3635","91","continent","airport"
"52990","contains","3635","107","continent","airport"
"53005","contains","3639","122","continent","airport"
"53021","contains","3637","138","continent","airport"
"53037","contains","3639","154","continent","airport"
"53053","contains","3635","170","continent","airport"
"53069","contains","3637","186","continent","airport"
"53085","contains","3635","202","continent","airport"
"53101","contains","3637","218","continent","airport"
"53117","contains","3639","234","continent","airport"
"53133","contains","3639","250","continent","airport"
"53149","contains","3637","266","continent","airport"
"53165","contains","3637","282","continent","airport"
"53181","contains","3638","298","continent","airport"
"53197","contains","3637","314","continent","airport"
"53213","contains","3635","330","continent","airport"
"53229","contains","3635","346","continent","airport"
"53245","contains","3637","362","continent","airport"
"53260","contains","3637","377","continent","airport"
"53276","contains","3637","393","continent","airport"
"53292","contains","3637","409","continent","airport"
"53308","contains","3637","425","continent","airport"
"53324","contains","3637","441","continent","airport"
"53340","contains","3639","457","continent","airport"
"53356","contains","3635","473","continent","airport"
"53372","contains","3636","489","continent","airport"
"53388","contains","3635","505","continent","airport"
"53404","contains","3636","521","continent","airport"
"53420","contains","3635","537","continent","airport"
"53436","contains","3635","553","continent","airport"
"53452","contains","3637","569","continent","airport"
"53468","contains","3638","585","continent","airport"
"53484","contains","3637","601","continent","airport"
"53500","contains","3637","617","continent","airport"
"53515","contains","3637","632","continent","airport"
"53531","contains","3637","648","continent","airport"
"53547","contains","3639","664","continent","airport"
"53563","contains","3639","680","continent","airport"
"53579","contains","3639","696","continent","airport"
"53595","contains","3639","712","continent","airport"
"53611","contains","3639","728","continent","airport"
"53627","contains","3640","744","continent","airport"
"53643","contains","3639","760","continent","airport"
"53659","contains","3639","776","continent","airport"
"53675","contains","3635","792","continent","airport"
"53691","contains","3635","808","continent","airport"
"53707","contains","3635","824","continent","airport"
"53723","contains","3636","840","continent","airport"
"53739","contains","3635","856","continent","airport"
"53755","contains","3637","872","continent","airport"
"53770","contains","3637","887","continent","airport"
"53786","contains","3639","903","continent","airport"
"53802","contains","3637","919","continent","airport"
"53818","contains","3637","935","continent","airport"
"53834","contains","3637","951","continent","airport"
"53850","contains","3637","967","continent","airport"
"53866","contains","3640","983","continent","airport"
"53882","contains","3640","999","continent","airport"
"53898","contains","3640","1015","continent","airport"
"53914","contains","3640","1031","continent","airport"
"53930","contains","3639","1047","continent","airport"
"53946","contains","3637","1063","continent","airport"
"53962","contains","3637","1079","continent","airport"
"53978","contains","3637","1095","continent","airport"
"53994","contains","3637","1111","continent","airport"
"54010","contains","3637","1127","continent","airport"
"54025","contains","3637","1142","continent","airport"
"54041","contains","3637","1158","continent","airport"
"54057","contains","3639","1174","continent","airport"
"54073","contains","3639","1190","continent","airport"
"54089","contains","3639","1206","continent","airport"
"54105","contains","3635","1222","continent","airport"
"54121","contains","3635","1238","continent","airport"
"54137","contains","3637","1254","continent","airport"
"54153","contains","3635","1270","continent","airport"
"54169","contains","3637","1286","continent","airport"
"54185","contains","3635","1302","continent","airport"
"54201","contains","3639","1318","continent","airport"
"54217","contains","3639","1334","continent","airport"
"54233","contains","3640","1350","continent","airport"
"54249","contains","3635","1366","continent","airport"
"54265","contains","3635","1382","continent","airport"
"54280","contains","3635","1397","continent","airport"
"54296","contains","3635","1413","continent","airport"
"54312","contains","3635","1429","continent","airport"
"54328","contains","3637","1445","continent","airport"
"54344","contains","3640","1461","continent","airport"
"54360","contains","3639","1477","continent","airport"
"54376","contains","3639","1493","continent","airport"
"54392","contains","3639","1509","continent","airport"
"54408","contains","3639","1525","continent","airport"
"54424","contains","3637","1541","continent","airport"
