~id,~label,~from,~to,~fromLabels,~toLabels
"49499","contains","3623","13","country","airport"
"49515","contains","3623","29","country","airport"
"49531","contains","3623","45","country","airport"
"49547","contains","3493","61","country","airport"
"49563","contains","3604","77","country","airport"
"49579","contains","3602","93","country","airport"
"49595","contains","3503","109","country","airport"
"49611","contains","3598","125","country","airport"
"49627","contains","3529","141","country","airport"
"49643","contains","3410","157","country","airport"
"49659","contains","3503","173","country","airport"
"49674","contains","3623","188","country","airport"
"49690","contains","3614","204","country","airport"
"49706","contains","3628","220","country","airport"
"49722","contains","3423","236","country","airport"
"49738","contains","3567","252","country","airport"
"49754","contains","3623","268","country","airport"
"49770","contains","3555","284","country","airport"
"49786","contains","3623","300","country","airport"
"49802","contains","3559","316","country","airport"
"49818","contains","3542","332","country","airport"
"49834","contains","3519","348","country","airport"
"49850","contains","3623","364","country","airport"
"49866","contains","3537","380","country","airport"
"49882","contains","3623","396","country","airport"
"49898","contains","3623","412","country","airport"
"49914","contains","3623","428","country","airport"
"49929","contains","3623","443","country","airport"
"49945","contains","3456","459","country","airport"
"49961","contains","3621","475","country","airport"
"49977","contains","3463","491","country","airport"
"49993","contains","3482","507","country","airport"
"50009","contains","3530","523","country","airport"
"50025","contains","3621","539","country","airport"
"50041","contains","3594","555","country","airport"
"50057","contains","3623","571","country","airport"
"50073","contains","3426","587","country","airport"
"50089","contains","3577","603","country","airport"
"50105","contains","3623","619","country","airport"
"50121","contains","3500","635","country","airport"
"50137","contains","3623","651","country","airport"
"50153","contains","3612","667","country","airport"
"50169","contains","3505","683","country","airport"
"50184","contains","3611","698","country","airport"
"50200","contains","3440","714","country","airport"
"50216","contains","3497","730","country","airport"
"50232","contains","3505","746","country","airport"
"50248","contains","3505","762","country","airport"
"50264","contains","3505","778","country","airport"
"50280","contains","3503","794","country","airport"
"50296","contains","3573","810","country","airport"
"50312","contains","3593","826","country","airport"
"50328","contains","3571","842","country","airport"
"50344","contains","3474","858","country","airport"
"50360","contains","3623","874","country","airport"
"50376","contains","3623","890","country","airport"
"50392","contains","3440","906","country","airport"
"50408","contains","3623","922","country","airport"
"50424","contains","3623","938","country","airport"
"50439","contains","3623","953","country","airport"
"50455","contains","3623","969","country","airport"
"50471","contains","3410","985","country","airport"
"50487","contains","3410","1001","country","airport"
"50503","contains","3556","1017","country","airport"
"50519","contains","3440","1033","country","airport"
"50535","contains","3440","1049","country","airport"
"50551","contains","3623","1065","country","airport"
"50567","contains","3623","1081","country","airport"
"50583","contains","3623","1097","country","airport"
"50599","contains","3623","1113","country","airport"
"50615","contains","3623","1129","country","airport"
"50631","contains","3496","1145","country","airport"
"50647","contains","3623","1161","country","airport"
"50663","contains","3499","1177","country","airport"
"50679","contains","3498","1193","country","airport"
"50694","contains","3595","1208","country","airport"
"50710","contains","3424","1224","country","airport"
"50726","contains","3474","1240","country","airport"
"50742","contains","3435","1256","country","airport"
"50758","contains","3623","1272","country","airport"
"50774","contains","3568","1288","country","airport"
"50790","contains","3473","1304","country","airport"
"50806","contains","3496","1320","country","airport"
"50822","contains","3496","1336","country","airport"
"50838","contains","3410","1352","country","airport"
